ID,class
oRB8lJynqBA,True
of-UPoEnw_w,False
d28cz00HHto,False
Tftg_LnwTW0,False
qR0mkm65Whk,True
4224hp9wAl4,True
ycw3_rg3Xcs,True
NZfJiPZ9quA,False
vjeY5CBZpNU,True
ZtpWXGyRtSw,True
y3NB5SbE_64,False
Dh1kOx8TmlY,True
YkmD7NSQcjM,False
boEX5ywdYWc,True
ZIuOUS_46ZM,True
svG4y4SsTwI,True
1k0rGopJk38,False
8lgg-pVjOok,False
uEhv-4Eb9ms,False
NU1LmLe2JsU,True
f0d2HoyI1Q8,True
OiRGHtsBHhg,True
BZbChKzedEk,False
P55XYp2KD2Y,False
HU3aXj9q7lQ,False
fJ_PNOXycwg,True
ROkXM3csNWY,True
399ygVt5Z2U,True
S_yAAJ7akxU,True
DxBqgmxdgu8,True
AIHTS4-SdSI,False
7Q8bKE88008,True
4rooZtfDq90,True
OxPlCkTKhzY,False
aO1XF02f7Uo,False
P2jWOwOHEzU,False
QTftYyu68P0,True
WR0nMTr6uOo,False
oF9qAYdA6Qg,False
6CKreBiB8cQ,True
0DK4DKXP7Kw,True
vvYb70bwHwM,True
2u-djVesZW8,True
VDR8qGmyEQg,False
r9sErSlpPPc,True
iDjQ8oe1_fw,True
QyBJvq6Umzs,False
NVCJUHrhums,False
b0ms1yc-E3c,True
E67Klqw2H-E,True
VA_P3p7MI98,False
4tJJnC26_uw,True
MOWF8603Rqk,True
0KmP3GoIbQ0,False
9QVsGWsk7TU,False
0kxYyPg9b80,True
aIQRWq3S8fE,True
XeTW_CO-UJc,True
9ar1SYYKrKg,False
2zxDW5NW1fE,False
G7jM9GHTw1k,False
WwtuOnNNQQ0,False
CzCqiI3ELvY,True
gbRJPa9d-VU,False
7G90b_iEU7o,False
zmYiW_xMTKc,False
N_L7_ByzB54,True
cb_C5yiYRGE,False
0Cq54gL6bc0,True
KvCiYgupDsk,True
v4GzJwMaVCw,True
kLN0mZP0E2U,True
rl7iNRdTncQ,False
JEWzl4V2YBI,True
pLlv2o6UfTU,False
FY_ZUEKWhBc,False
JGWXm6voaK4,False
En4a-O-QPEg,True
qiavjgRoZQM,True
M2CMH57hXmY,False
qEdFJrNQkEU,False
byxEledFpEE,True
R2fqp0y9AEs,True
joqYcbmrNsM,True
jy-tpTD5JuY,True
_KbfyuiqejM,True
PCg0siuvzOA,True
Pwf7w0Jtou4,True
h0uRTN69rI0,True
MDI62C9XOqs,True
JARB9wHbGnw,True
tkD6QfeRil8,False
XKTuzkXc2uY,True
GFcOmOBeX-8,True
IhBStqs7onA,True
u8XaBJ8ow5A,False
Yl_K2Ata6XY,False
XCK23-H8r6w,True
KjI2G9bSsaQ,False
ATMPDAUBPnM,True
TUvquCOGs3U,False
x9FacodH3d0,True
YMZcp0EQO2s,False
TPCpXXBHFSA,False
y98J3jg0oic,True
5DCVm3d6WhM,False
IMtHoQb-w74,True
awe_tunGiig,True
lkfpqGWzHCE,False
TGl2X0m2oes,True
01NSrc_Yyo8,True
A5GgBTFSUu4,False
EjYjIBWe9Ms,False
5MmKYlCazKY,True
zeUNWnfYY-s,True
BBEeXuGSKAc,True
0tIErW4tybM,False
_qbmXeylA_0,True
-pl2syqioeo,True
VNI9VzNb4LE,True
01bD1DLR9nQ,True
aG1nWuYFkTM,True
g3-ULSmFT_o,True
Ft74qTBb9lY,True
1C1i99sfv-g,False
eXaqOZlQsMs,True
AdMGchRQVbg,True
GJCVV7geeFo,True
6xQLkXylEnQ,True
sv6KNegJJQk,False
WIj9nu3u8nI,True
BGoXHXyIY9A,True
2lKq3rFhark,False
uvhPk1dtZ1Y,False
CjNb8S2q7as,True
Zpc6_-u7sw4,False
5BS1x4iP-Es,False
T8stUe9Vo74,True
-A7z2pKTUkM,True
Z1hzDc3n9IU,True
gKVhPXQmzZg,False
S-GqXHYSL6M,True
LnFsp6iM5dg,True
4icM3Mg1h7c,True
9A6OsogQ57E,True
mGOz7vFLaxM,False
c50NBJ-lLYI,True
2Jhto1-gfMM,True
rVgh9PXKpbI,True
FCpqN7GmLYk,False
aL2TNX5DIv4,True
qNUIdwXCEvg,True
3Ko0wufW6Ko,False
R7kifVwmf5s,True
x_IbXadhKsQ,False
G1ywglClndY,True
h4Ga3FZISXc,True
xoSS4hM6oSU,True
sYP0ToMVVFg,False
9fwxvqDAzNA,False
T2LAd43JoP4,False
YiXPBjrlCGM,True
f8j5e5Xwxfs,True
EFkRsRpIFj4,True
TClPyrgomB0,False
1X24EsAKY0w,False
MQYFIUdv5IY,True
vlRHbQEHdRU,True
Vy3k0XpJUC0,True
YMQvvokVlt4,True
b33c6L1vvQI,True
eGoT_VqIVKY,True
SIVWw0PbDTo,False
0sKN7yYC42g,False
rew7FoGy1Po,False
zms7jmKsjqw,True
VVo0UJ1el9w,True
3DQBvgIh9Fo,True
fElOwzSLbAU,False
a2lXYeUAGSI,True
5fpkao4A-0s,False
MCxNN3cVX8I,False
vXnN5yAq2fE,True
nGh6ffX5RNE,False
Fzq_yuj-oZM,False
p5fqQW27Xc0,True
ORhFIInTXMs,True
iX_2aDHTJnQ,True
VfvjbeoUAQ0,True
k-0Nx08Y7OY,True
0lDRiOQGWXs,True
tdeueWbTr3s,True
ZqEiKBcSSIE,True
NWcWtHYZtz0,False
fploN6Kgcvo,False
btpU8PThCMo,True
aSJNGVHfRbY,False
iwH1QFUtVBU,True
CRSsa2o6PDQ,True
ENgR3aw5Snk,False
fqb-0kDS_xs,False
xw0xY_tKwQk,True
8wD802jdUJ4,True
0Z8J3axc0oY,True
-hjGgFgnYIA,False
9FSnKxvqGMU,False
5CJPoEsIANA,True
v48wP4LSjJw,False
GjAU4mtpyoo,True
9XVUQZHKFbU,False
lHYWDkpT8cw,True
ZpCWLXQdy7E,True
FCJNMB0InME,True
o4w8ZFyiKEU,True
xw6gwfMmS0E,False
X-Bneil727o,True
pTIZZ3QoG5Q,False
jxcZngFXwuk,False
eP-v8kBfGRk,True
__Ra51OHBhs,True
vYYsiYG31NA,True
KinVqZnvyv0,False
R0xDrYg-QJ4,False
tbNJEWkE00Q,False
Hkn5b0xmac4,True
Oc2FXemKmtA,True
rAngvzG2wl0,True
TxjrWxeGWR4,True
Xras_k6gKBo,False
xg-rZA1B2y8,True
dltHIG-6UfQ,True
xbW2BANY81U,True
1mJ5Mb7WgnQ,True
nyfQONK-GLQ,True
88mGWJTSfv0,True
wvKH6l82H-s,True
DvisTHAvaIE,False
jHKtrTxbOD8,True
fP0Iaxi24pI,True
HMkllhBI91Y,False
o3tSAKerrnU,True
a_mRnmnK0vM,True
oLIemUx7Lzc,True
A1_w54GeXZ4,False
SR1K0ZbMxMc,True
pIuSElb3Ous,True
JFYx4DwOq4k,False
3KdMVtusUOw,True
fqZGKUwtk_c,True
hpaAEmVN090,True
4R6uNXAw9tM,False
63KaFl1Xtt0,False
rJ6fdyRq708,False
30RvB7xsoAc,False
Euww7Ha_exA,True
kx7n9E5TTzg,True
CKE6_2o7DMo,True
Atgq_-AGhPs,True
L-g5Efn-ac0,False
IGgpoI_0oPs,True
iwJM0ZTwVMk,True
eow1_xquOhU,False
J56DrPqCoUE,True
vRghXP_xnS8,True
arQ6U3ev5ic,False
KU6gSfbVaMY,False
witqTjT2BEw,True
b_gitOw1TZU,True
rs363eeSnLk,True
XDlwsGeek6g,True
jGyZpLV82bY,True
iUKaOyFHO_Y,True
Q3x4epjtLCU,True
rs_XqVsrg38,True
AB55NYPSmWs,False
_gu9a7W1q8s,False
JEKE3Dpc3WU,True
hokkA77ib3c,True
5IDCtC2pek4,True
r4x1sRm5GOU,True
c5tFFXo3HFQ,False
LmeXEAZ-dMk,True
wYWXDIj9_xM,False
0gDVWPPgMKY,True
UXQe3KnUBH0,True
KXDejyMHyNQ,False
RVyh1ewep84,False
PgSRAsgrKmg,False
7dxcO26i9uw,False
-nwNs78f2rQ,True
tjmDc6QZiME,True
TM42O6kYbI8,False
n1mwZrVJ-TI,False
DfdgY-QOphU,False
Kf1NwC1DSJ0,True
uCoW-QfT6MY,True
e9TLbZuvsko,False
DPq_9lFI4bY,False
k4E4Ipqb3J4,True
CcA3FSI8IAM,False
Gn1ZDcBC82I,True
FBQTeVggW60,False
iyr4HtxZw0M,True
FkC7fwLzh7Q,True
nNR9Jjw0xpI,False
mF2Fhu6FNRE,True
MtaPd0DKRZQ,True
4navS6trSqg,True
Fzj8e59ugz0,True
Y-hbGbxAXeY,True
exvyckyAyAA,True
wuNPIB55lBo,True
xWK9RzPpkOI,True
ji4e8YM_W88,False
equHN8hJEGE,True
TTJlFqOSXy8,True
VNdqsQX6aOI,True
YFO9kTgZ0Ag,False
W6XtAB5B_ug,True
pvYpSrnUuOg,True
fn8Ok3ipZ-8,False
CkIQPERNfTQ,True
9zVUI2KA5Mo,True
SG-R87ZG78Q,False
klvwxraqiuk,False
xyliPHeAppA,True
15e66tOIvvI,False
J4cSjN2Gx6I,True
0YcH2P1vMJg,True
2IhCbkaaQ-Q,False
oIRiniCbjSE,True
ieFrIvFzJd8,False
qzpJODtA05I,False
5UsX0KvPhRY,False
vJqHW8-IdC4,True
E7ucLg6kcGU,True
yJqfNroFp8U,True
Knht7RhVOYU,True
KET2gwa2nvQ,True
A4EKZRlpcIM,True
FfZZrNOOh90,True
EzzRlILp4kw,False
CkZM8NzhpnU,True
hQUf-qlLhhY,False
1seXb77Cl5k,False
8pFA0QcElW8,True
rT33pk-3N_w,True
u2wMmYPlil4,True
Pj98shlApxU,False
rAYW9n8i-C4,False
_frbj6RZA2Y,True
E17mQvkzmCc,True
3By8y3OuyCg,True
jK4vScpqP-k,True
g8g1Ynhiyag,False
c0a_qtK3MVw,True
qJSYXxBrD3c,True
ih4dY9i9JKE,False
0EQfYo5dY9g,True
i8YRfjA0dS8,False
30IRzNHtp_Q,True
1qKfvfFdJqs,False
lnOKRd3QQpM,True
T97mk7V0eII,False
1D9cqVpxCfU,False
gu3nhY2x60c,False
R7N5a476DKQ,False
ZOhAcD8t00c,False
4wszzgOnJ5U,False
klo7ZlWV1kU,False
-tszUScKgiE,True
vfuGbamZGP0,True
lubcdk4JbUY,True
S9gP6jrLv7I,True
ls77_u1ItuY,False
YX68ym4n7_c,False
I2zCHh6dAlo,True
b9RoQvbKw7Q,True
P2w230F31QQ,False
jde3UgvPyFU,True
Cd-artSbpXc,False
9obHZ_1RIws,True
d1BRw32nMqg,False
Kh_mC64w2OM,True
QDJRUrAGTck,True
SmpYKPQrQRw,True
QhVDY85K-Ps,True
RdYjyj4DBOg,False
J2QpJYYOxso,True
No35-c4zXjo,True
Z5PJPa3wJd0,True
ZuhIB1TwPoQ,True
Mt5C5fhuU_0,False
niJo2OTUt9k,True
8zFlIufOcWw,True
akpuRQmHhmQ,False
hIGtTImeYU4,False
ZG3Fcals5bE,True
yB8hasaZlRw,True
Vd6fUInQBGM,True
8MytNtll0Uk,True
9i3MiNy3T2o,True
QY94b8_9upg,True
On3ZInb8wHY,True
znSeL66e8qE,False
lom7PSzK35g,True
5yQxnD_4gWQ,False
GSWOs4_etoE,True
3GO98vergLs,True
8l1NyR6UvxU,False
EFNtG5K5FJ8,False
TOdmgkSFrKQ,True
enYBTIjS_bM,True
wxK_7XcWGps,False
xjFPX7EoINs,True
Q5fFRKFV-rU,True
hAAhOQluxwQ,False
_Zd1ByhigPU,False
sWpDYIlGIkg,True
rVh7HP_wisw,False
MsyQ3na4HNA,True
w2EtjIV2VFw,True
fYtYLSjNiec,True
YeMVoJKn1Tg,False
xpYq54DCH2Q,False
2QJ2L2ip32w,False
fHUFcW1hzsA,False
2NCpoznC2Ww,True
pHY8bRPsv6o,False
a63ONXOdlOA,True
pMW_sycSs30,True
TG-XuTQ2ZWI,True
n-DTjpde9-0,True
U4TqqPqpT_A,True
Ze6ZG3uCE6I,True
XKrV_JqZX1Q,False
sDCg9-6Uxp0,True
d5mpyafEBcg,True
AONYDfLxrzw,True
cZIso9uqNls,True
GVNy3x_PwFk,False
kijBKHiPfX0,True
EOrpOfYzJK0,True
mtHilmUa69M,False
JOWS8K-jMGg,False
4Uhe7pNqCFo,True
l88TPN2XT_E,True
SXkzhQuGqw4,False
FnBVMSCq3Xo,True
IR0pUXvBIg8,False
8lkDYqnnd3g,False
4-flFL40zY8,True
R1yKw8SzgOM,True
CORL6kACgE4,False
jI-_ghUVdEQ,True
hxBlON_xeVQ,True
xBVOVhrrl4A,True
0MOE9OWe29Q,True
rwAyoX8D3YE,False
RuBmb6WUeY4,True
nTJu0dS-dWg,True
UETQ2ohvVJk,False
buWdLA2c6qE,True
76QLmwAyXdw,True
lg6XxrHCY60,False
JsUo21K6rzM,True
Pxgvgh9IFqA,True
PbxHN4lRzfU,True
bBn8SKZoWyQ,False
YU8IIpAjoTM,True
HO-qcThRCss,False
BfQhDi3E4IE,True
mwHwKHuSYjE,True
X02PFwO7yR0,True
Vcz_vsC8kY0,False
VYFdu7Xo5Uc,False
2rRyWUChTuw,False
RzcqZ5ksrdE,True
__Z71wS3esc,True
e6XeP9gQPmg,True
k7IfeUxMCk0,False
BTypyHOD_F0,True
jFMDcJ8mFl8,False
sswyyj5-5ZA,True
fUrxK2QcqrA,True
Eq__6Q5vk8w,True
Ti211HHtiEc,True
8UnfCkFVQ9E,False
oz0H45F_c7c,True
HxVLdhm2B6Y,True
LwKcz-INITk,True
EHgB2J9F0Kc,True
gI1YHfhC9Jo,False
MxJJ2LBI604,True
1Q5cPfbmSD8,False
hz1ZbtnKMls,True
Jh3tXO4hK1s,True
MyBX3grNhdU,True
TI4PXFUOPR8,True
OnRzchYYgTk,False
ItWweMVi41s,False
wt5FJtQ0ffo,True
nQ7BhjCPZCE,True
uqq1YtMmS4A,True
NR59tgKo75Y,True
94PjbMWtLuc,False
P2EFu4EXMa8,True
xKB0qQHEqro,True
QU7_1ntcidY,True
_jPjFxEzx80,False
iIvCAC2a0B4,True
nZK3MNUp6bw,True
dXIokT2H4cw,True
HXa8hgmI5n0,True
r3L2e_n4tDc,False
h_jWPt5xDMs,True
7a-AdJ5c37o,False
ENyyev1NO3E,True
KO6527S5JOU,False
YBO_7UezpbY,True
pfBhJ4mcR2k,False
gYk15-IutX0,False
ktIY-YmvrPY,True
WzC2f5PSIyw,True
rTqtbotS7cU,True
3t3oSsmN4cQ,False
ObKE1m3EmdE,False
4L4E1uVSlw8,True
rQcRmKu4ZdI,True
QdWnpcU8vOM,True
W_jhlvL0ZpI,True
l-iNTZq0NAg,True
AtADFhfZsK0,True
Ynp_RwEgTyU,False
UI4g_amOTSg,False
GyCv_S42Tak,True
c2U9jLsnsD8,True
EsNq4nl7-dg,False
aiutQ4V1i-E,True
K9ME_Pmj84U,True
zNVRz4Pc6_0,True
h_KAObE448w,True
GVslN6wz7sA,True
jdQw0fD8ztI,True
xVU8nEIsapY,False
CXAu4TPvrbI,True
805rnyxeFD0,True
rVsNNDhBhVU,True
McjR7KwimsM,False
weWBt_UW8pI,True
2i6rCkdPCtA,True
tLLoauOmlZk,False
8OlMdw5UyDA,False
N_SNLPKUmRw,True
kOWVevf33U8,True
jT4f71-6cyY,False
hi4wv5FnOBY,True
NB2Bc1Z-_uQ,True
TezifXYjVjk,False
v394vC23HW0,False
_qBKpCcJihc,False
sgzs0k_-uKM,True
9gjtu1H36UI,True
5StSdDynnOg,True
6ssJD4mfYBU,False
6_RdnVtfZPY,False
wF3nhile788,False
Xs87FijgVaA,False
OKVMO1YWHcQ,False
1Kfd3VHiVhY,False
V60cjQ9EG1Q,True
BRUvbiWLwFI,True
FTWPZzqeJO4,True
rELHUMNt4HM,False
MZ3oZZ7un1o,True
n0AX-64MBTU,True
oUX5X7z16to,True
KC3MutXeqHc,False
uutpyRhKNko,False
-aV6aMgzldI,True
YKBuhwExI1I,True
mmH3u6UPxAQ,True
cBoez-AxUis,True
3--kuzGB1dc,True
7z9-jWKscx4,True
Noj55_o0WOM,True
PZ_th0wI_rk,True
Vibg7mb8hDk,True
KsMiN9MYIYk,True
AAYC35cqbOM,True
YfMJccv9n7U,True
KgqFnOTK3_M,False
mICxKmCjF-4,False
TKEAHr_sCUQ,False
4nQ_k25d_rM,False
BeIw0oVw5bg,True
VX816lsdL-4,False
JhCyIG3ZQtE,True
54a3tcaAH-E,True
Ki3nBF8eBZg,True
Ums-oYVs2q4,True
7YhR4yhTLLI,True
xr9v6ea-Rhk,False
bEzq53BG3g0,True
vS8kvvtfddY,True
DdkgqqPMtZ8,True
qGAi8UfK0gI,True
SYmk97h4k4Q,True
cVY2OWeG2xU,True
titwL40jkFE,False
G-_7ViR3RF4,True
_0qCc-upcnY,True
trhliEU_fRQ,True
_vi8Gb1OFVQ,True
HkWfn-_8stI,True
a_I2wmI9Kd0,True
g9R6J60iLSo,True
-kTWIm7m4Uw,True
HcSwesDrUGE,True
wOy1focPEXE,True
-C0fXVR08Bs,True
U4qF0g7dxJk,True
46252WOwNNM,False
3eY394uqk9Q,True
KMoSTU8oXJ4,True
U9wY8Wz6lCs,False
gtu9YgV_zhc,False
6JRcYwjGUnE,False
IQt7Otk1aWQ,True
e681QNbHloE,False
hgS96Gop9wE,True
dNUdWgr1K_0,True
Huhjz844V_s,True
MGLQY5Hl6oY,False
9gkxwIZPOZk,True
UmqcrHeplR8,True
lztEnBFN5zU,False
1WM1h9Iw6vs,False
6w-IaWORPTw,True
QnPMvcZG4pk,True
Qstax83hB8U,False
W3-kn6YreyY,True
pVKjwlKZBE4,True
lxuOxQzDN3Y,False
kZdc1hb23bY,False
1u3K-D5yTIg,True
